,Date,Volatility,PeriodStart,PeriodEnd,DataPointsUsed,DatesUsed
33,1990-02-16,0.004809646712710615,1990-02-16,1990-02-22,4,"1990-02-16,1990-02-20,1990-02-21,1990-02-22"
34,1990-02-20,0.004900511471854998,1990-02-20,1990-02-23,4,"1990-02-20,1990-02-21,1990-02-22,1990-02-23"
35,1990-02-21,0.007928543982272444,1990-02-21,1990-02-26,4,"1990-02-21,1990-02-22,1990-02-23,1990-02-26"
36,1990-02-22,0.008057233006906386,1990-02-22,1990-02-27,4,"1990-02-22,1990-02-23,1990-02-26,1990-02-27"
37,1990-02-23,0.006603326668751169,1990-02-23,1990-02-28,4,"1990-02-23,1990-02-26,1990-02-27,1990-02-28"
38,1990-02-26,0.004352252990185416,1990-02-26,1990-03-01,4,"1990-02-26,1990-02-27,1990-02-28,1990-03-01"
39,1990-02-27,0.002093043571968063,1990-02-27,1990-03-02,4,"1990-02-27,1990-02-28,1990-03-01,1990-03-02"
40,1990-02-28,0.005067034863691222,1990-02-28,1990-03-05,4,"1990-02-28,1990-03-01,1990-03-02,1990-03-05"
41,1990-03-01,0.006731782111240081,1990-03-01,1990-03-06,4,"1990-03-01,1990-03-02,1990-03-05,1990-03-06"
42,1990-03-02,0.007504423025990027,1990-03-02,1990-03-07,4,"1990-03-02,1990-03-05,1990-03-06,1990-03-07"
43,1990-03-05,0.007776290715654538,1990-03-05,1990-03-08,4,"1990-03-05,1990-03-06,1990-03-07,1990-03-08"
44,1990-03-06,0.008091244600047115,1990-03-06,1990-03-09,4,"1990-03-06,1990-03-07,1990-03-08,1990-03-09"
45,1990-03-07,0.006122069748124356,1990-03-07,1990-03-12,4,"1990-03-07,1990-03-08,1990-03-09,1990-03-12"
46,1990-03-08,0.0071447942997883455,1990-03-08,1990-03-13,4,"1990-03-08,1990-03-09,1990-03-12,1990-03-13"
47,1990-03-09,0.004804787225914274,1990-03-09,1990-03-14,4,"1990-03-09,1990-03-12,1990-03-13,1990-03-14"
48,1990-03-12,0.004644664576991576,1990-03-12,1990-03-15,4,"1990-03-12,1990-03-13,1990-03-14,1990-03-15"
49,1990-03-13,0.006844699268978631,1990-03-13,1990-03-16,4,"1990-03-13,1990-03-14,1990-03-15,1990-03-16"
50,1990-03-14,0.0034320333016798045,1990-03-14,1990-03-19,4,"1990-03-14,1990-03-15,1990-03-16,1990-03-19"
51,1990-03-15,0.006083456382173214,1990-03-15,1990-03-20,4,"1990-03-15,1990-03-16,1990-03-19,1990-03-20"
52,1990-03-16,0.00718312819163469,1990-03-16,1990-03-21,4,"1990-03-16,1990-03-19,1990-03-20,1990-03-21"
53,1990-03-19,0.005970438429250313,1990-03-19,1990-03-22,4,"1990-03-19,1990-03-20,1990-03-21,1990-03-22"
54,1990-03-20,0.005900328194562684,1990-03-20,1990-03-23,4,"1990-03-20,1990-03-21,1990-03-22,1990-03-23"
55,1990-03-21,0.006324001704694215,1990-03-21,1990-03-26,4,"1990-03-21,1990-03-22,1990-03-23,1990-03-26"
56,1990-03-22,0.008495273384460851,1990-03-22,1990-03-27,4,"1990-03-22,1990-03-23,1990-03-26,1990-03-27"
57,1990-03-23,0.004133879422185043,1990-03-23,1990-03-28,4,"1990-03-23,1990-03-26,1990-03-27,1990-03-28"
58,1990-03-26,0.0054637393585526125,1990-03-26,1990-03-29,4,"1990-03-26,1990-03-27,1990-03-28,1990-03-29"
59,1990-03-27,0.005924160225050141,1990-03-27,1990-03-30,4,"1990-03-27,1990-03-28,1990-03-29,1990-03-30"
60,1990-03-28,0.002080446781720529,1990-03-28,1990-04-02,4,"1990-03-28,1990-03-29,1990-03-30,1990-04-02"
61,1990-03-29,0.007725868834910476,1990-03-29,1990-04-03,4,"1990-03-29,1990-03-30,1990-04-02,1990-04-03"
62,1990-03-30,0.008471398386529596,1990-03-30,1990-04-04,4,"1990-03-30,1990-04-02,1990-04-03,1990-04-04"
63,1990-04-02,0.008377018828286295,1990-04-02,1990-04-05,4,"1990-04-02,1990-04-03,1990-04-04,1990-04-05"
64,1990-04-03,0.008187390546034462,1990-04-03,1990-04-06,4,"1990-04-03,1990-04-04,1990-04-05,1990-04-06"
65,1990-04-04,0.003979600288252707,1990-04-04,1990-04-09,4,"1990-04-04,1990-04-05,1990-04-06,1990-04-09"
66,1990-04-05,0.002306099967926596,1990-04-05,1990-04-10,4,"1990-04-05,1990-04-06,1990-04-09,1990-04-10"
67,1990-04-06,0.00220040293170292,1990-04-06,1990-04-11,4,"1990-04-06,1990-04-09,1990-04-10,1990-04-11"
68,1990-04-09,0.0027350758173171202,1990-04-09,1990-04-12,4,"1990-04-09,1990-04-10,1990-04-11,1990-04-12"
69,1990-04-10,0.002809674965835258,1990-04-10,1990-04-16,4,"1990-04-10,1990-04-11,1990-04-12,1990-04-16"
70,1990-04-11,0.0030464329902726755,1990-04-11,1990-04-17,4,"1990-04-11,1990-04-12,1990-04-16,1990-04-17"
71,1990-04-12,0.006718199101771433,1990-04-12,1990-04-18,4,"1990-04-12,1990-04-16,1990-04-17,1990-04-18"
72,1990-04-16,0.005243143217853475,1990-04-16,1990-04-19,4,"1990-04-16,1990-04-17,1990-04-18,1990-04-19"
73,1990-04-17,0.004196394250194387,1990-04-17,1990-04-20,4,"1990-04-17,1990-04-18,1990-04-19,1990-04-20"
74,1990-04-18,0.0018366410200734162,1990-04-18,1990-04-23,4,"1990-04-18,1990-04-19,1990-04-20,1990-04-23"
75,1990-04-19,0.0036217841014366,1990-04-19,1990-04-24,4,"1990-04-19,1990-04-20,1990-04-23,1990-04-24"
76,1990-04-20,0.006594294773727183,1990-04-20,1990-04-25,4,"1990-04-20,1990-04-23,1990-04-24,1990-04-25"
77,1990-04-23,0.006596238707751023,1990-04-23,1990-04-26,4,"1990-04-23,1990-04-24,1990-04-25,1990-04-26"
78,1990-04-24,0.00631794698159101,1990-04-24,1990-04-27,4,"1990-04-24,1990-04-25,1990-04-26,1990-04-27"
79,1990-04-25,0.00688424393644317,1990-04-25,1990-04-30,4,"1990-04-25,1990-04-26,1990-04-27,1990-04-30"
80,1990-04-26,0.006774897472105216,1990-04-26,1990-05-01,4,"1990-04-26,1990-04-27,1990-04-30,1990-05-01"
81,1990-04-27,0.007346369417414258,1990-04-27,1990-05-02,4,"1990-04-27,1990-04-30,1990-05-01,1990-05-02"
82,1990-04-30,0.0012545423866686656,1990-04-30,1990-05-03,4,"1990-04-30,1990-05-01,1990-05-02,1990-05-03"
83,1990-05-01,0.001991484425428639,1990-05-01,1990-05-04,4,"1990-05-01,1990-05-02,1990-05-03,1990-05-04"
84,1990-05-02,0.0018471975502661313,1990-05-02,1990-05-07,4,"1990-05-02,1990-05-03,1990-05-04,1990-05-07"
85,1990-05-03,0.001953732431061435,1990-05-03,1990-05-08,4,"1990-05-03,1990-05-04,1990-05-07,1990-05-08"
86,1990-05-04,0.002196672273193301,1990-05-04,1990-05-09,4,"1990-05-04,1990-05-07,1990-05-08,1990-05-09"
87,1990-05-07,0.0015268496738470823,1990-05-07,1990-05-10,4,"1990-05-07,1990-05-08,1990-05-09,1990-05-10"
88,1990-05-08,0.008944182768635739,1990-05-08,1990-05-11,4,"1990-05-08,1990-05-09,1990-05-10,1990-05-11"
89,1990-05-09,0.008678410247392297,1990-05-09,1990-05-14,4,"1990-05-09,1990-05-10,1990-05-11,1990-05-14"
90,1990-05-10,0.00953191065241358,1990-05-10,1990-05-15,4,"1990-05-10,1990-05-11,1990-05-14,1990-05-15"
91,1990-05-11,0.010143877856648414,1990-05-11,1990-05-16,4,"1990-05-11,1990-05-14,1990-05-15,1990-05-16"
92,1990-05-14,0.00362963756076899,1990-05-14,1990-05-17,4,"1990-05-14,1990-05-15,1990-05-16,1990-05-17"
93,1990-05-15,0.001037947908303674,1990-05-15,1990-05-18,4,"1990-05-15,1990-05-16,1990-05-17,1990-05-18"
94,1990-05-16,0.004020933860469324,1990-05-16,1990-05-21,4,"1990-05-16,1990-05-17,1990-05-18,1990-05-21"
95,1990-05-17,0.0036825244504756455,1990-05-17,1990-05-22,4,"1990-05-17,1990-05-18,1990-05-21,1990-05-22"
96,1990-05-18,0.003579881345019892,1990-05-18,1990-05-23,4,"1990-05-18,1990-05-21,1990-05-22,1990-05-23"
97,1990-05-21,0.004322513973764222,1990-05-21,1990-05-24,4,"1990-05-21,1990-05-22,1990-05-23,1990-05-24"
98,1990-05-22,0.005115258861349079,1990-05-22,1990-05-25,4,"1990-05-22,1990-05-23,1990-05-24,1990-05-25"
99,1990-05-23,0.01010964818470644,1990-05-23,1990-05-29,4,"1990-05-23,1990-05-24,1990-05-25,1990-05-29"
100,1990-05-24,0.010104152858753403,1990-05-24,1990-05-30,4,"1990-05-24,1990-05-25,1990-05-29,1990-05-30"
101,1990-05-25,0.009905522310121028,1990-05-25,1990-05-31,4,"1990-05-25,1990-05-29,1990-05-30,1990-05-31"
102,1990-05-29,0.0066760064831799274,1990-05-29,1990-06-01,4,"1990-05-29,1990-05-30,1990-05-31,1990-06-01"
103,1990-05-30,0.004455589435483346,1990-05-30,1990-06-04,4,"1990-05-30,1990-05-31,1990-06-01,1990-06-04"
104,1990-05-31,0.005151894909236673,1990-05-31,1990-06-05,4,"1990-05-31,1990-06-01,1990-06-04,1990-06-05"
105,1990-06-01,0.006379825536314405,1990-06-01,1990-06-06,4,"1990-06-01,1990-06-04,1990-06-05,1990-06-06"
106,1990-06-04,0.007370084759375614,1990-06-04,1990-06-07,4,"1990-06-04,1990-06-05,1990-06-06,1990-06-07"
107,1990-06-05,0.0037815986066057935,1990-06-05,1990-06-08,4,"1990-06-05,1990-06-06,1990-06-07,1990-06-08"
108,1990-06-06,0.007551989003863176,1990-06-06,1990-06-11,4,"1990-06-06,1990-06-07,1990-06-08,1990-06-11"
109,1990-06-07,0.01043974710739381,1990-06-07,1990-06-12,4,"1990-06-07,1990-06-08,1990-06-11,1990-06-12"
110,1990-06-08,0.009827127089677014,1990-06-08,1990-06-13,4,"1990-06-08,1990-06-11,1990-06-12,1990-06-13"
111,1990-06-11,0.0077232846521496324,1990-06-11,1990-06-14,4,"1990-06-11,1990-06-12,1990-06-13,1990-06-14"
112,1990-06-12,0.0071324602187747355,1990-06-12,1990-06-15,4,"1990-06-12,1990-06-13,1990-06-14,1990-06-15"
113,1990-06-13,0.006209561169133696,1990-06-13,1990-06-18,4,"1990-06-13,1990-06-14,1990-06-15,1990-06-18"
114,1990-06-14,0.007884398382728683,1990-06-14,1990-06-19,4,"1990-06-14,1990-06-15,1990-06-18,1990-06-19"
115,1990-06-15,0.00825004133133011,1990-06-15,1990-06-20,4,"1990-06-15,1990-06-18,1990-06-19,1990-06-20"
116,1990-06-18,0.008699483836851958,1990-06-18,1990-06-21,4,"1990-06-18,1990-06-19,1990-06-20,1990-06-21"
117,1990-06-19,0.007626290696195543,1990-06-19,1990-06-22,4,"1990-06-19,1990-06-20,1990-06-21,1990-06-22"
118,1990-06-20,0.0073951453281511275,1990-06-20,1990-06-25,4,"1990-06-20,1990-06-21,1990-06-22,1990-06-25"
119,1990-06-21,0.006947493321728455,1990-06-21,1990-06-26,4,"1990-06-21,1990-06-22,1990-06-25,1990-06-26"
120,1990-06-22,0.008628283523202792,1990-06-22,1990-06-27,4,"1990-06-22,1990-06-25,1990-06-26,1990-06-27"
121,1990-06-25,0.006934679914336722,1990-06-25,1990-06-28,4,"1990-06-25,1990-06-26,1990-06-27,1990-06-28"
122,1990-06-26,0.003948294612510906,1990-06-26,1990-06-29,4,"1990-06-26,1990-06-27,1990-06-28,1990-06-29"
123,1990-06-27,0.0029021514816062895,1990-06-27,1990-07-02,4,"1990-06-27,1990-06-28,1990-06-29,1990-07-02"
124,1990-06-28,0.0023229645007416077,1990-06-28,1990-07-03,4,"1990-06-28,1990-06-29,1990-07-02,1990-07-03"
125,1990-06-29,0.006510524152122126,1990-06-29,1990-07-05,4,"1990-06-29,1990-07-02,1990-07-03,1990-07-05"
126,1990-07-02,0.007652974081859247,1990-07-02,1990-07-06,4,"1990-07-02,1990-07-03,1990-07-05,1990-07-06"
127,1990-07-03,0.0075171268960865295,1990-07-03,1990-07-09,4,"1990-07-03,1990-07-05,1990-07-06,1990-07-09"
128,1990-07-05,0.008192496456315349,1990-07-05,1990-07-10,4,"1990-07-05,1990-07-06,1990-07-09,1990-07-10"
129,1990-07-06,0.00798767732822376,1990-07-06,1990-07-11,4,"1990-07-06,1990-07-09,1990-07-10,1990-07-11"
130,1990-07-09,0.008618428037387101,1990-07-09,1990-07-12,4,"1990-07-09,1990-07-10,1990-07-11,1990-07-12"
131,1990-07-10,0.008555404263788483,1990-07-10,1990-07-13,4,"1990-07-10,1990-07-11,1990-07-12,1990-07-13"
132,1990-07-11,0.0038988940404579555,1990-07-11,1990-07-16,4,"1990-07-11,1990-07-12,1990-07-13,1990-07-16"
133,1990-07-12,0.005513213626313131,1990-07-12,1990-07-17,4,"1990-07-12,1990-07-13,1990-07-16,1990-07-17"
134,1990-07-13,0.0058898773029385084,1990-07-13,1990-07-18,4,"1990-07-13,1990-07-16,1990-07-17,1990-07-18"
135,1990-07-16,0.00541974641191379,1990-07-16,1990-07-19,4,"1990-07-16,1990-07-17,1990-07-18,1990-07-19"
136,1990-07-17,0.005196133904457047,1990-07-17,1990-07-20,4,"1990-07-17,1990-07-18,1990-07-19,1990-07-20"
137,1990-07-18,0.007335425564981362,1990-07-18,1990-07-23,4,"1990-07-18,1990-07-19,1990-07-20,1990-07-23"
138,1990-07-19,0.008410921757255612,1990-07-19,1990-07-24,4,"1990-07-19,1990-07-20,1990-07-23,1990-07-24"
139,1990-07-20,0.0085798473237474,1990-07-20,1990-07-25,4,"1990-07-20,1990-07-23,1990-07-24,1990-07-25"
140,1990-07-23,0.00818274635577428,1990-07-23,1990-07-26,4,"1990-07-23,1990-07-24,1990-07-25,1990-07-26"
141,1990-07-24,0.004095135406620013,1990-07-24,1990-07-27,4,"1990-07-24,1990-07-25,1990-07-26,1990-07-27"
142,1990-07-25,0.0051864555481861375,1990-07-25,1990-07-30,4,"1990-07-25,1990-07-26,1990-07-27,1990-07-30"
143,1990-07-26,0.004887366879820305,1990-07-26,1990-07-31,4,"1990-07-26,1990-07-27,1990-07-30,1990-07-31"
144,1990-07-27,0.004720443969154878,1990-07-27,1990-08-01,4,"1990-07-27,1990-07-30,1990-07-31,1990-08-01"
145,1990-07-30,0.006388519762884723,1990-07-30,1990-08-02,4,"1990-07-30,1990-07-31,1990-08-01,1990-08-02"
146,1990-07-31,0.008072167094640639,1990-07-31,1990-08-03,4,"1990-07-31,1990-08-01,1990-08-02,1990-08-03"
147,1990-08-01,0.010418144412931643,1990-08-01,1990-08-06,4,"1990-08-01,1990-08-02,1990-08-03,1990-08-06"
148,1990-08-02,0.01142893521663524,1990-08-02,1990-08-07,4,"1990-08-02,1990-08-03,1990-08-06,1990-08-07"
149,1990-08-03,0.016064530732500523,1990-08-03,1990-08-08,4,"1990-08-03,1990-08-06,1990-08-07,1990-08-08"
150,1990-08-06,0.015818366885362315,1990-08-06,1990-08-09,4,"1990-08-06,1990-08-07,1990-08-08,1990-08-09"
151,1990-08-07,0.008616635880516572,1990-08-07,1990-08-10,4,"1990-08-07,1990-08-08,1990-08-09,1990-08-10"
152,1990-08-08,0.009548552842895503,1990-08-08,1990-08-13,4,"1990-08-08,1990-08-09,1990-08-10,1990-08-13"
153,1990-08-09,0.008560341349952878,1990-08-09,1990-08-14,4,"1990-08-09,1990-08-10,1990-08-13,1990-08-14"
154,1990-08-10,0.00833888056289363,1990-08-10,1990-08-15,4,"1990-08-10,1990-08-13,1990-08-14,1990-08-15"
155,1990-08-13,0.01227055038379268,1990-08-13,1990-08-16,4,"1990-08-13,1990-08-14,1990-08-15,1990-08-16"
156,1990-08-14,0.010434790427461657,1990-08-14,1990-08-17,4,"1990-08-14,1990-08-15,1990-08-16,1990-08-17"
157,1990-08-15,0.01054165621754915,1990-08-15,1990-08-20,4,"1990-08-15,1990-08-16,1990-08-17,1990-08-20"
158,1990-08-16,0.009617720260637603,1990-08-16,1990-08-21,4,"1990-08-16,1990-08-17,1990-08-20,1990-08-21"
159,1990-08-17,0.008498502423756257,1990-08-17,1990-08-22,4,"1990-08-17,1990-08-20,1990-08-21,1990-08-22"
160,1990-08-20,0.011621661098998873,1990-08-20,1990-08-23,4,"1990-08-20,1990-08-21,1990-08-22,1990-08-23"
161,1990-08-21,0.01664941288521385,1990-08-21,1990-08-24,4,"1990-08-21,1990-08-22,1990-08-23,1990-08-24"
162,1990-08-22,0.024437035790249487,1990-08-22,1990-08-27,4,"1990-08-22,1990-08-23,1990-08-24,1990-08-27"
163,1990-08-23,0.022655219555206746,1990-08-23,1990-08-28,4,"1990-08-23,1990-08-24,1990-08-27,1990-08-28"
164,1990-08-24,0.011682061987235067,1990-08-24,1990-08-29,4,"1990-08-24,1990-08-27,1990-08-28,1990-08-29"
165,1990-08-27,0.017573653188763843,1990-08-27,1990-08-30,4,"1990-08-27,1990-08-28,1990-08-29,1990-08-30"
166,1990-08-28,0.01125758442767342,1990-08-28,1990-08-31,4,"1990-08-28,1990-08-29,1990-08-30,1990-08-31"
167,1990-08-29,0.01123534900884453,1990-08-29,1990-09-04,4,"1990-08-29,1990-08-30,1990-08-31,1990-09-04"
168,1990-08-30,0.010610997535458716,1990-08-30,1990-09-05,4,"1990-08-30,1990-08-31,1990-09-04,1990-09-05"
169,1990-08-31,0.00871296304113828,1990-08-31,1990-09-06,4,"1990-08-31,1990-09-04,1990-09-05,1990-09-06"
170,1990-09-04,0.007873635037453698,1990-09-04,1990-09-07,4,"1990-09-04,1990-09-05,1990-09-06,1990-09-07"
171,1990-09-05,0.00825851272505629,1990-09-05,1990-09-10,4,"1990-09-05,1990-09-06,1990-09-07,1990-09-10"
172,1990-09-06,0.007719590239792186,1990-09-06,1990-09-11,4,"1990-09-06,1990-09-07,1990-09-10,1990-09-11"
173,1990-09-07,0.005690032302337031,1990-09-07,1990-09-12,4,"1990-09-07,1990-09-10,1990-09-11,1990-09-12"
174,1990-09-10,0.006027195973740778,1990-09-10,1990-09-13,4,"1990-09-10,1990-09-11,1990-09-12,1990-09-13"
175,1990-09-11,0.006041382514374086,1990-09-11,1990-09-14,4,"1990-09-11,1990-09-12,1990-09-13,1990-09-14"
176,1990-09-12,0.006732363092815931,1990-09-12,1990-09-17,4,"1990-09-12,1990-09-13,1990-09-14,1990-09-17"
177,1990-09-13,0.00622265657124239,1990-09-13,1990-09-18,4,"1990-09-13,1990-09-14,1990-09-17,1990-09-18"
178,1990-09-14,0.004398340155555781,1990-09-14,1990-09-19,4,"1990-09-14,1990-09-17,1990-09-18,1990-09-19"
179,1990-09-17,0.00783273065007575,1990-09-17,1990-09-20,4,"1990-09-17,1990-09-18,1990-09-19,1990-09-20"
180,1990-09-18,0.007124468491659063,1990-09-18,1990-09-21,4,"1990-09-18,1990-09-19,1990-09-20,1990-09-21"
181,1990-09-19,0.008169494510631262,1990-09-19,1990-09-24,4,"1990-09-19,1990-09-20,1990-09-21,1990-09-24"
182,1990-09-20,0.01221635432847386,1990-09-20,1990-09-25,4,"1990-09-20,1990-09-21,1990-09-24,1990-09-25"
183,1990-09-21,0.011395777894071944,1990-09-21,1990-09-26,4,"1990-09-21,1990-09-24,1990-09-25,1990-09-26"
184,1990-09-24,0.011280160975664958,1990-09-24,1990-09-27,4,"1990-09-24,1990-09-25,1990-09-26,1990-09-27"
185,1990-09-25,0.012798034195342135,1990-09-25,1990-09-28,4,"1990-09-25,1990-09-26,1990-09-27,1990-09-28"
186,1990-09-26,0.017928729511999655,1990-09-26,1990-10-01,4,"1990-09-26,1990-09-27,1990-09-28,1990-10-01"
187,1990-09-27,0.015997686155230135,1990-09-27,1990-10-02,4,"1990-09-27,1990-09-28,1990-10-01,1990-10-02"
188,1990-09-28,0.015553918220957058,1990-09-28,1990-10-03,4,"1990-09-28,1990-10-01,1990-10-02,1990-10-03"
189,1990-10-01,0.014826440229436274,1990-10-01,1990-10-04,4,"1990-10-01,1990-10-02,1990-10-03,1990-10-04"
190,1990-10-02,0.006099484162614683,1990-10-02,1990-10-05,4,"1990-10-02,1990-10-03,1990-10-04,1990-10-05"
191,1990-10-03,0.007260754386111616,1990-10-03,1990-10-08,4,"1990-10-03,1990-10-04,1990-10-05,1990-10-08"
192,1990-10-04,0.013072592034516457,1990-10-04,1990-10-09,4,"1990-10-04,1990-10-05,1990-10-08,1990-10-09"
193,1990-10-05,0.012378914526105496,1990-10-05,1990-10-10,4,"1990-10-05,1990-10-08,1990-10-09,1990-10-10"
194,1990-10-08,0.01203081350214851,1990-10-08,1990-10-11,4,"1990-10-08,1990-10-09,1990-10-10,1990-10-11"
195,1990-10-09,0.015782353881445194,1990-10-09,1990-10-12,4,"1990-10-09,1990-10-10,1990-10-11,1990-10-12"
196,1990-10-10,0.01460099714326565,1990-10-10,1990-10-15,4,"1990-10-10,1990-10-11,1990-10-12,1990-10-15"
197,1990-10-11,0.01432195726158309,1990-10-11,1990-10-16,4,"1990-10-11,1990-10-12,1990-10-15,1990-10-16"
198,1990-10-12,0.011443096902180962,1990-10-12,1990-10-17,4,"1990-10-12,1990-10-15,1990-10-16,1990-10-17"
199,1990-10-15,0.013876697487399428,1990-10-15,1990-10-18,4,"1990-10-15,1990-10-16,1990-10-17,1990-10-18"
200,1990-10-16,0.015813059473029766,1990-10-16,1990-10-19,4,"1990-10-16,1990-10-17,1990-10-18,1990-10-19"
201,1990-10-17,0.010070273265740061,1990-10-17,1990-10-22,4,"1990-10-17,1990-10-18,1990-10-19,1990-10-22"
202,1990-10-18,0.01260934108984909,1990-10-18,1990-10-23,4,"1990-10-18,1990-10-19,1990-10-22,1990-10-23"
203,1990-10-19,0.010857665038843178,1990-10-19,1990-10-24,4,"1990-10-19,1990-10-22,1990-10-23,1990-10-24"
204,1990-10-22,0.0063037764677159385,1990-10-22,1990-10-25,4,"1990-10-22,1990-10-23,1990-10-24,1990-10-25"
205,1990-10-23,0.006505520036805089,1990-10-23,1990-10-26,4,"1990-10-23,1990-10-24,1990-10-25,1990-10-26"
206,1990-10-24,0.006520830449175285,1990-10-24,1990-10-29,4,"1990-10-24,1990-10-25,1990-10-26,1990-10-29"
207,1990-10-25,0.008957008668090165,1990-10-25,1990-10-30,4,"1990-10-25,1990-10-26,1990-10-29,1990-10-30"
208,1990-10-26,0.009360817905025624,1990-10-26,1990-10-31,4,"1990-10-26,1990-10-29,1990-10-30,1990-10-31"
209,1990-10-29,0.007502509656101377,1990-10-29,1990-11-01,4,"1990-10-29,1990-10-30,1990-10-31,1990-11-01"
210,1990-10-30,0.005729856570772449,1990-10-30,1990-11-02,4,"1990-10-30,1990-10-31,1990-11-01,1990-11-02"
211,1990-10-31,0.005704356851417321,1990-10-31,1990-11-05,4,"1990-10-31,1990-11-01,1990-11-02,1990-11-05"
212,1990-11-01,0.009438769659532758,1990-11-01,1990-11-06,4,"1990-11-01,1990-11-02,1990-11-05,1990-11-06"
213,1990-11-02,0.013562609549167989,1990-11-02,1990-11-07,4,"1990-11-02,1990-11-05,1990-11-06,1990-11-07"
214,1990-11-05,0.010870575467944453,1990-11-05,1990-11-08,4,"1990-11-05,1990-11-06,1990-11-07,1990-11-08"
215,1990-11-06,0.014460064285497589,1990-11-06,1990-11-09,4,"1990-11-06,1990-11-07,1990-11-08,1990-11-09"
216,1990-11-07,0.015176963115798315,1990-11-07,1990-11-12,4,"1990-11-07,1990-11-08,1990-11-09,1990-11-12"
