,Token,Frequency_x,Frequency_y,Ratio
438,Street,0.000310452209464,0.0,inf
433,Shanghai,0.000315228397302,0.0,inf
296,economy,0.00040438390361,0.0,inf
409,September,0.000327964898204,0.0,inf
321,Expects,0.000377318839195,0.0,inf
469,plc,0.000296123645951,0.0,inf
447,near,0.000307268084239,0.0,inf
184,Dec,0.000550853663973,0.0,inf
185,Loss,0.000550853663973,0.0,inf
453,Issuer,0.000304083959014,0.0,inf
222,TeamReport,0.000474434658566,0.0,inf
400,Sees,0.000331149023429,0.0,inf
481,official,0.000292939520725,0.0,inf
372,Indian,0.00034388552433,0.0,inf
404,Tech,0.000331149023429,0.0,inf
405,Greek,0.000329556960816,0.0,inf
472,Master,0.000294531583338,0.0,inf
406,Posts,0.000329556960816,0.0,inf
306,Percent,0.000391647402709,0.0,inf
307,day,0.000391647402709,0.0,inf
324,EUR,0.000375726776583,0.0,inf
52,Says,0.00145196110273,0.000277150129961,5.23889742693
20,Of,0.00341975049195,0.00108524206908,3.15114073567
76,Brexit,0.00108578670182,0.000360902683594,3.0085304188
39,2017,0.0018770418203,0.000669533117849,2.80350854986
19,To,0.00364741544555,0.00131073721057,2.78272060649
71,Q4,0.00116857395768,0.000426819646868,2.73786355959
114,As,0.000781702742805,0.000285726807292,2.73583970022
54,Share,0.00143285635137,0.000531624044858,2.69524368816
79,H1,0.00105553751218,0.00044861870175,2.3528611448
31,In,0.00223366384553,0.000962602080734,2.32044360825
110,Up,0.000803991619382,0.000347940205355,2.31071778141
137,MARKETS,0.000705283737399,0.000331988885016,2.12441972979
47,FY,0.00157136579867,0.000770828875113,2.03854039386
129,At,0.00072438848875,0.000358531102362,2.0204341659
164,Britain,0.000630456794605,0.00031519289191,2.00022529311
49,For,0.001561813423,0.000781322309877,1.99893616662
105,On,0.000815136057671,0.000431302910018,1.88993869213
116,Shares,0.000765782116679,0.00040765207253,1.87851888481
183,vote,0.000555629851811,0.000305121793529,1.82101004777
112,2018,0.000796031306319,0.000437345569046,1.82014261184
59,8.3,0.00134051671984,0.000737529275627,1.81757763948
106,pay,0.000813543995058,0.000453166939729,1.79524127586
45,Form,0.00163664036579,0.000942687295871,1.73614344116
55,India,0.00142489603831,0.000849805778868,1.67673140586
81,stocks,0.00104280101128,0.000623530939438,1.67241261872
181,Co,0.000560406039649,0.000336147274025,1.66714438269
66,sees,0.00124817708831,0.000776026861374,1.60841995353
92,Q2,0.000882002687402,0.00055043425764,1.60237607881
149,German,0.000686178986047,0.00044075674753,1.55682015055
136,Development,0.000711651987849,0.000459177111343,1.54984203321
121,From,0.000754637678391,0.000487993447678,1.54640944869
152,fall,0.000679810735597,0.000441633907712,1.5393082907
281,won,0.000421896592349,0.000274128800447,1.53904511916
249,central,0.000450553719377,0.000294660846178,1.5290586626
9,2015,0.00480484496494,0.00317112898085,1.51518433781
87,PLC,0.000944093129295,0.00063093806986,1.49633248395
77,And,0.00107145813831,0.000718751550259,1.49072115103
169,Appoints,0.000617720293704,0.000414896765881,1.48885299791
159,Wall,0.000654337733794,0.000442056244096,1.48021375681
26,Net,0.00251068274013,0.00171172936321,1.4667521596
236,low,0.000461698157665,0.000316037564677,1.46089645431
153,dividend,0.000676626610371,0.000468468511785,1.44433743859
75,down,0.00109693114011,0.000775409600505,1.41464735463
23,pct,0.00300263008744,0.00213257132587,1.40798577333
180,2019,0.000560406039649,0.000401414489016,1.39607825573
120,Variable,0.000756229741003,0.000544521548268,1.38879672147
187,police,0.000547669538748,0.000394657106877,1.38770980987
1,BRIEF,0.0193387845557,0.0139453849533,1.38675157556
182,Plc,0.000558813977036,0.000403753582834,1.38404710396
118,Fix,0.000759413866229,0.0005498819716,1.38104885312
228,Securities,0.000466474345503,0.000338973679054,1.37613736501
190,Sales,0.000546077476135,0.000399692656067,1.36624345693
22,China,0.00329716167077,0.00242931136656,1.35724128087
122,FRN,0.000753045615778,0.000555079957861,1.35664349814
300,Strategic,0.000401199778385,0.000296837502925,1.35158049246
83,EU,0.00101414388425,0.000751011552492,1.35037055141
276,Action,0.000425080717574,0.000316200001748,1.34434128787
40,net,0.00182927994192,0.00136395159492,1.34116192153
146,off,0.000689363111272,0.000515217900721,1.33800302805
286,No,0.000415528341899,0.000312983747749,1.32763552385
60,Million,0.00133096434417,0.00100519308066,1.3240882471
213,Russian,0.000501499722981,0.00037880324878,1.32390554885
274,LLP,0.0004282648428,0.000325426427361,1.31601126028
217,Private,0.000490355284693,0.000373962624075,1.31124142662
352,Common,0.000361398213069,0.000277312567032,1.3032161396
260,50,0.000441001343701,0.000340500587519,1.29515589654
135,market,0.000711651987849,0.000550239333156,1.29334990243
82,PlayerWatch,0.00101892007209,0.000789639087895,1.2903617459
140,Agreement,0.000700507549561,0.000543839312572,1.28807817561
209,Class,0.000509460036044,0.000397191125179,1.28265714853
94,Investment,0.000875634436951,0.000684347378693,1.27951748515
253,could,0.000444185468926,0.000348005180183,1.27637602605
99,Rate,0.000850161435149,0.000669175756293,1.27046060344
157,June,0.000662298046858,0.000523534678739,1.26505095795
144,yuan,0.00069413929911,0.000549816996772,1.2624915257
10,REG,0.00471409739602,0.00375700700731,1.25474809785
204,rate,0.000514236223882,0.00041064091463,1.25227712476
205,6,0.00051264416127,0.000412102848266,1.24397141011
327,Shareholders,0.00037413471397,0.000300898429692,1.24339204546
332,cash,0.000369358526132,0.000297812125349,1.24024005302
303,Iran,0.000394831527934,0.000318539095565,1.23950728005
395,rules,0.000334333148654,0.000270977521276,1.23380399629
240,Korea,0.000456921969827,0.000370681395247,1.23265417603
329,CFO,0.000372542651357,0.000302522800398,1.23145313632
224,Asia,0.000469658470728,0.000384586008496,1.221205297
314,dollar,0.000382095027033,0.000314608118455,1.2145110206
346,source,0.000361398213069,0.000297844612763,1.21337837779
168,Fed,0.000617720293704,0.000509987427046,1.21124612283
381,lower,0.000340701399105,0.000282023242081,1.20806142285
284,2020,0.000418712467124,0.000346608221375,1.20802808849
239,week,0.00045851403244,0.000380427619487,1.20525957883
25,Group,0.00268740169013,0.00224640722499,1.1963110073
42,With,0.00170509905814,0.00142532032022,1.19629183275
383,British,0.000340701399105,0.000285271983494,1.19430374806
247,hit,0.000452145781989,0.000379907820861,1.1901460227
203,set,0.000515828286495,0.000433901903148,1.1888131459
126,STOCKS,0.000738717052264,0.000621971543559,1.18770233126
192,firm,0.000536525100459,0.000453264401971,1.18369123656
259,top,0.000441001343701,0.000372988001651,1.18234726519
391,Estate,0.000337517273879,0.00028673391713,1.17710969549
262,Officer,0.000439409281088,0.00037337785062,1.1768488151
111,South,0.000797623368932,0.000680968687623,1.17130696819
308,Holding,0.000390055340096,0.000333223406753,1.17055204464
268,than,0.000433041030638,0.000369999159551,1.17038382239
305,Therapeutics,0.000394831527934,0.000337901594388,1.1684808077
412,Acquires,0.000327964898204,0.00028130851897,1.16585483939
364,Income,0.000348661712168,0.000299176596743,1.1654043664
325,Products,0.000375726776583,0.00032266499716,1.16444851437
428,Communications,0.000318412522528,0.000274128800447,1.16154348616
417,Director,0.000326372835591,0.000281113594485,1.16099983065
357,Cash,0.000351845837393,0.000303205036095,1.16042214181
396,watch,0.000334333148654,0.000289008036119,1.15682993851
267,Insurance,0.000433041030638,0.000374644859771,1.15587073823
35,after,0.00210789089913,0.00182537033784,1.15477437944
128,Dividend,0.000737124989652,0.000638670074423,1.15415614285
100,is,0.000842201122086,0.000732396264194,1.14992547513
336,stock,0.000367766463519,0.000319968541787,1.14938319081
263,chief,0.000439409281088,0.000382506813991,1.14876196976
368,Sale,0.000345477586943,0.000301450715732,1.14604998069
191,Oil,0.00054289335091,0.000474446195985,1.14426747543
67,Capital,0.00123862471263,0.00108387759769,1.14277176249
331,cut,0.000370950588745,0.000325686326674,1.13898115568
390,president,0.000337517273879,0.000296707553269,1.13754189997
202,Stock,0.00051901241172,0.000456513143384,1.13690573698
28,profit,0.00229416222481,0.0020206846716,1.13533905465
142,will,0.000697323424336,0.000615279136248,1.13334482392
341,White,0.000366174400907,0.000323737081826,1.1310857528
24,up,0.00276382069554,0.00244626979673,1.12981025201
230,back,0.00046488228289,0.00041158304964,1.1294981251
242,win,0.000456921969827,0.000405345466126,1.12724085505
293,t,0.000409160091448,0.000363176802583,1.12661405833
74,A,0.00110489145317,0.000982321941113,1.12477529711
398,600,0.000331149023429,0.000294498409108,1.12445097558
355,Companies,0.000355029962618,0.000315940102435,1.12372554127
131,5,0.000721204363525,0.000641918815836,1.12351335672
226,X,0.000468066408116,0.000417073422628,1.12226380949
174,may,0.000584286978838,0.000521780358376,1.11979488967
304,government,0.000394831527934,0.000353852914727,1.11580691158
145,bank,0.000692547236498,0.000620769509236,1.11562701807
282,record,0.000420304529737,0.000377211365488,1.11424142587
250,Chief,0.000447369594151,0.000402876422652,1.11043875739
463,REFILE,0.000299307771176,0.000270262798165,1.10746937132
285,bonds,0.000417120404511,0.000376951466175,1.1065626266
232,ALERT,0.00046488228289,0.000421946534748,1.10175637103
403,FDA,0.000331149023429,0.00030057355555,1.10172374553
43,over,0.00165256099192,0.00150829317591,1.09564971738
11,as,0.00468066408116,0.00428385540229,1.09262886853
73,Management,0.00112718032975,0.00103228758405,1.09192471862
18,1,0.00377796457979,0.00347326193228,1.08772809349
354,case,0.000355029962618,0.000327473134452,1.08414988977
436,election,0.000312044272077,0.000288455750079,1.08177518386
264,Named,0.000436225155863,0.000403526170935,1.08103312073
301,Limited,0.000401199778385,0.000371168706459,1.08090949318
351,Trackers,0.000361398213069,0.000335172651601,1.0782449324
115,Board,0.000773742429742,0.000717809415249,1.07792181783
165,talks,0.000630456794605,0.000585878026458,1.07608882077
297,Receives,0.000402791840998,0.000374482422701,1.07559612035
154,buy,0.000675034547759,0.000627786790689,1.07526083341
160,Japan,0.000651153608569,0.000606669971503,1.07332427705
91,Holdings,0.000891555063078,0.000831547852125,1.07216326853
201,30,0.000520604474333,0.000487863498022,1.06711093665
84,UK,0.000995039132899,0.000932908584218,1.06659875333
15,UPDATE,0.00427468811493,0.00402099973455,1.06309087221
175,against,0.000577918728388,0.000544391598612,1.06158642026
34,The,0.00212699565048,0.0020038886785,1.06143403738
252,DB,0.000445777531539,0.000420029777314,1.06129983067
349,y,0.000361398213069,0.000340533074933,1.06127198699
72,Technology,0.00115424539416,0.00108910807136,1.05980795158
347,higher,0.000361398213069,0.000341507697357,1.05824324273
328,INDEX,0.00037413471397,0.000353625502828,1.05799697979
311,fund,0.000388463277484,0.000367497628662,1.05704975267
255,Best,0.000444185468926,0.000421069374566,1.05489854109
243,but,0.000456921969827,0.00043328464228,1.05455380884
467,Firm,0.000299307771176,0.000283907512101,1.05424392952
269,20,0.000431448968025,0.000409438880307,1.05375671138
254,Acquisition,0.000444185468926,0.000421686635435,1.05335439068
272,falls,0.000429856905412,0.000408106896328,1.05329488249
173,growth,0.000589063166676,0.000559368296527,1.05308643757
4,s,0.0140435843061,0.0133687658398,1.05047724482
186,Fund,0.00054926160136,0.000522982392699,1.05024874456
206,Medical,0.00051264416127,0.000488383296648,1.04967586891
289,One,0.000410752154061,0.000391343390635,1.04959522478
323,Network,0.000377318839195,0.000359668161857,1.04907489517
163,Corp,0.000644785358119,0.00061482431245,1.04873106847
38,2,0.00196938145183,0.00188001416841,1.04753543081
199,court,0.000523788599558,0.000500306177634,1.04693610228
313,Saudi,0.000385279152259,0.000368309814016,1.04607354351
195,European,0.000526972724783,0.000504172179916,1.04522372669
256,sell,0.000442593406313,0.000423830804768,1.04426908411
200,banks,0.000522196536945,0.00050066353919,1.0430089193
480,STOXX,0.000292939520725,0.000280886182586,1.04291182296
375,Releases,0.000342293461717,0.000328870093259,1.04081662861
13,U.S.,0.00434473886989,0.00417499007753,1.04065849001
61,bln,0.00131185959281,0.00126106395437,1.04027998602
237,Chinese,0.000461698157665,0.00044468772464,1.03825253562
302,Mexico,0.00039801565316,0.0003836763609,1.03737340561
117,10,0.000761005928841,0.000734085609729,1.03667190687
360,Factors,0.00035025377478,0.000338161493701,1.03575889421
189,100,0.000546077476135,0.000527433168435,1.0353491377
156,North,0.000670258359921,0.000647896500037,1.03451455577
445,Completes,0.000307268084239,0.00029758471345,1.03253987974
348,ahead,0.000361398213069,0.000350636660728,1.03069146369
499,All,0.000284979207662,0.000277702416001,1.02620355907
279,percent,0.000423488654962,0.000412752596548,1.02601088038
429,state,0.000318412522528,0.000310807091002,1.02446994212
139,more,0.000700507549561,0.000684964639561,1.02269155092
385,investment,0.000337517273879,0.000331696498289,1.01754849876
367,bid,0.000347069649555,0.000341085360973,1.01754484146
162,Brazil,0.000644785358119,0.000634934021798,1.01551552757
37,Markets,0.00197097351445,0.00194352706304,1.01412198056
96,unit,0.000869266186501,0.000858025094643,1.01310112248
340,Olympics,0.000366174400907,0.000361909793432,1.01178361999
246,Service,0.000452145781989,0.000447254230357,1.01093684822
408,raises,0.000327964898204,0.000324646729422,1.01022086003
41,Asset,0.00175445299913,0.00173674467209,1.01019627544
295,CORRECTED,0.00040438390361,0.00040034240435,1.01009510663
56,Reports,0.00141693572525,0.00140469081224,1.00871715889
266,Europe,0.00043463309325,0.000430978035877,1.00848084373
330,Platform,0.000372542651357,0.000369641797995,1.00784774173
317,Real,0.000380502964421,0.000378835736195,1.00440092649
466,Law,0.000299307771176,0.000298039537248,1.00425525398
65,CEO,0.00125295327615,0.0012478090894,1.00412257515
312,Investors,0.000385279152259,0.000383903772799,1.00358261512
88,year,0.000921804252718,0.00092254509911,0.99919695374
44,Value,0.00164141655363,0.00164415554181,0.998334106408
225,bond,0.000468066408116,0.000469800495764,0.996308885017
335,City,0.000369358526132,0.000371785967328,0.99347086386
50,Bank,0.00152360392029,0.00153366584635,0.993439297043
493,31,0.000288163332888,0.000290372507513,0.992391929098
477,Africa,0.000294531583338,0.000297259839309,0.990821982623
235,Australia,0.000463290220278,0.000467981200573,0.989976135175
176,sources,0.00057314254055,0.000579542980703,0.988956056124
78,3,0.00107145813831,0.00108345526131,0.988926978872
89,Second,0.000905883626591,0.000917087213535,0.987783509814
485,Marketing,0.000291347458113,0.00029553800636,0.98582061137
104,oil,0.000823096370734,0.000837363099255,0.982962315232
337,California,0.000367766463519,0.000374482422701,0.982066022931
231,MSCI,0.00046488228289,0.000474348733743,0.98004326737
338,500,0.000367766463519,0.000375522019953,0.979347265882
273,Offering,0.000429856905412,0.000439424763551,0.978226402032
69,ETF,0.00120837552299,0.00123848520154,0.975688301714
0,to,0.0245798546765,0.0252079592475,0.975083085273
458,Distribution,0.000300899833789,0.000309312669952,0.972801514518
227,plan,0.000466474345503,0.000479709157075,0.972410758943
125,not,0.000740309114877,0.000761504987257,0.972165812786
343,gets,0.000364582338294,0.000375294608054,0.971456371794
333,report,0.000369358526132,0.000380330157245,0.97115235039
119,Industry,0.000757821803616,0.000780802511251,0.970567835907
172,4,0.000595431417127,0.00061482431245,0.968457826194
124,Partners,0.000745085302715,0.000769984202345,0.967663103276
251,trade,0.000445777531539,0.000460866456878,0.967259658163
127,Health,0.000738717052264,0.000763974030731,0.966940003913
370,LLC,0.000345477586943,0.000357523992524,0.96630602188
399,cuts,0.000331149023429,0.000343229530306,0.964803416343
309,two,0.000390055340096,0.000404565768187,0.964133327059
2,in,0.0147616045444,0.0153448777793,0.961989059589
361,it,0.000348661712168,0.000364151425007,0.957463539134
413,Care,0.000326372835591,0.000341020386145,0.957047874118
46,Market,0.00157932611174,0.00165637080953,0.953485839436
322,Two,0.000377318839195,0.000395891628614,0.953086177943
93,US,0.000882002687402,0.000927255774159,0.951196759278
53,new,0.00143763253921,0.00151141196767,0.951185097092
461,Property,0.000300899833789,0.000316557363303,0.950538097262
389,IPO,0.000337517273879,0.000355249873535,0.950084149281
158,Earnings,0.000655929796407,0.000691689534287,0.948300883406
248,out,0.000450553719377,0.000475453305823,0.947629796361
177,rise,0.00057314254055,0.000604980625968,0.947373380152
377,More,0.000340701399105,0.000359765624099,0.947009320187
33,Research,0.00213654802616,0.00225732299614,0.946496371947
291,July,0.000410752154061,0.000434291752118,0.945797731726
402,group,0.000331149023429,0.000350376761415,0.94512267906
397,trading,0.000332741086041,0.000352196056606,0.944760964242
197,President,0.000525380662171,0.000556476916669,0.944119417056
419,Texas,0.000324780772978,0.000345113800325,0.941083122935
102,trackers,0.000827872558572,0.000881805881788,0.938837646324
101,x,0.00083264874641,0.000887881028231,0.937793150136
455,French,0.000302491896401,0.000322600022332,0.937668553817
319,High,0.000378910901808,0.000404143431803,0.937565408689
442,8,0.000308860146852,0.000329877203097,0.936288242873
482,Life,0.000292939520725,0.000313406084132,0.934696343041
113,db,0.000784886868031,0.000839929604972,0.934467440349
350,Center,0.000361398213069,0.000387152514212,0.933477634271
132,Trump,0.0007180202383,0.0007705689758,0.931805277464
98,Company,0.000850161435149,0.000912863849698,0.931312413598
257,no,0.000442593406313,0.000475420818409,0.930950831717
193,Trust,0.000530156850009,0.000569959193534,0.930166327736
133,stake,0.000713244050462,0.000768489781295,0.92811130066
294,Security,0.000405975966223,0.000437475518703,0.927996993812
488,Names,0.0002897553955,0.000312463949123,0.927324244329
310,Ltd,0.000390055340096,0.000421719122849,0.924917365524
245,high,0.000455329907215,0.000492476710829,0.924571451203
270,tax,0.000431448968025,0.000466811653664,0.924246352117
422,Executive,0.000321596647753,0.000348265079496,0.923424904438
483,Syria,0.000291347458113,0.000315712690536,0.922824665738
287,R,0.000415528341899,0.000450340534699,0.922698069309
275,RPT,0.000426672780187,0.000462783214312,0.921971167043
339,has,0.000366174400907,0.000398068285361,0.919878358496
415,Credit,0.000326372835591,0.000354892511979,0.91963855132
57,shares,0.00138827859822,0.00151199674112,0.918175655055
388,Quarterly,0.000337517273879,0.00036795245246,0.917285023167
353,debt,0.000359806150456,0.000394169795665,0.912820196812
36,from,0.00199167032841,0.00218360905348,0.912100233895
134,000,0.000711651987849,0.000780380174867,0.911929865428
64,Inc.,0.00126250565182,0.00138743999534,0.909953335685
30,by,0.00223844003337,0.00246569727038,0.907832465995
220,S,0.000483987034242,0.000535035223342,0.904589105777
366,capital,0.000347069649555,0.000384326109183,0.903060295053
451,Declares,0.000305676021627,0.000338551342671,0.902894134802
107,Business,0.000811951932446,0.000900518632328,0.901649231118
411,15,0.000327964898204,0.000364118937593,0.900708159734
431,Public,0.000316820459915,0.000351806207637,0.900553921556
318,Senior,0.000378910901808,0.000421134349395,0.899738770662
401,House,0.000331149023429,0.000368179864359,0.899421873614
446,Series,0.000307268084239,0.000344496539457,0.891933732407
17,with,0.0039928930325,0.00448115146831,0.891041746911
16,says,0.00417916435818,0.00471005778829,0.88728515573
495,seeks,0.000288163332888,0.000324809166493,0.887177341696
421,Digital,0.000323188710366,0.000364801173289,0.885931115438
426,T,0.00032000458514,0.000361519944462,0.885164401141
178,York,0.000569958415325,0.00064477770828,0.883961104743
29,a,0.00224799240905,0.00254334219016,0.883873360707
7,on,0.00719453094651,0.00815625770459,0.882087252155
179,National,0.000565182227487,0.000641723891352,0.88072492719
5,for,0.0103086054168,0.0117236356756,0.87930107196
161,be,0.000646377420731,0.000736717090274,0.877375357874
356,issue,0.000353437900006,0.000403006372309,0.877003254268
468,Germany,0.000297715708563,0.000339558452509,0.876773075044
476,Analysis,0.000294531583338,0.000336374685924,0.875605673266
478,Study,0.000294531583338,0.000336537122995,0.875183042861
14,Announces,0.00433518649421,0.00496229007161,0.873626174942
233,data,0.000463290220278,0.000530714397262,0.872955817042
215,Systems,0.000496723535143,0.000569244470423,0.872601423382
148,Russia,0.00068777104866,0.000790288836178,0.870278077046
241,Growth,0.000456921969827,0.000525061587203,0.870225476331
420,board,0.000323188710366,0.0003717209925,0.869438952566
167,into,0.000620904418929,0.000714560673836,0.868931697005
221,Resources,0.000474434658566,0.000546600742773,0.867972948883
216,plans,0.000491947347305,0.000567067813676,0.867528248723
344,end,0.000362990275682,0.000419802365415,0.864669438731
299,an,0.000401199778385,0.000467266477462,0.858610231498
214,America,0.000499907660368,0.000583863806782,0.856205941457
21,New,0.00331149023429,0.00387090788125,0.855481539699
326,about,0.000375726776583,0.000440171974076,0.853590866096
288,business,0.000412344216673,0.000485394454548,0.849503353015
210,Outlook,0.000504683848206,0.000594519678618,0.848893428355
62,Inc,0.00130708340498,0.00154237247334,0.847449904334
48,Global,0.00156977373606,0.00185460901056,0.846417615316
196,first,0.000525380662171,0.000621451744933,0.845408620145
437,PM,0.000310452209464,0.000367367679006,0.845072191175
32,mln,0.00216520515319,0.00256449149676,0.84430194287
358,minister,0.000351845837393,0.000417073422628,0.843606469039
147,Its,0.000689363111272,0.000817870650776,0.842875472568
198,Solutions,0.000523788599558,0.000623400989781,0.840211369799
141,Services,0.000697323424336,0.000832619936792,0.837505077073
27,.,0.00245177642346,0.0029280256609,0.837347997391
290,billion,0.000410752154061,0.000492411736,0.834164021754
108,International,0.000811951932446,0.000978813300386,0.829526869041
334,signs,0.000369358526132,0.000447059305872,0.826195811788
8,the,0.00547191919964,0.0066261654738,0.825804791817
95,deal,0.000874042374338,0.00106009681054,0.824492976155
3,of,0.0141184112489,0.0171569607647,0.822896982891
265,Program,0.00043463309325,0.000528895102071,0.821775606446
103,Corporation,0.000826280495959,0.00102497791587,0.806144681917
392,month,0.000335925211267,0.000418210482123,0.803244360499
234,rises,0.000463290220278,0.000579672930359,0.799226936457
473,wins,0.000294531583338,0.000368667175571,0.798909159411
440,Expands,0.000308860146852,0.000387412413525,0.79723864303
244,Technologies,0.000456921969827,0.000576586626017,0.792460229235
490,United,0.0002897553955,0.000368602200743,0.786092418646
188,Gold,0.000547669538748,0.000698739303153,0.783796669625
90,million,0.000901107438753,0.00115674686759,0.779001408175
444,C,0.000308860146852,0.000396671326553,0.778629878635
416,Software,0.000326372835591,0.00042093942491,0.77534394803
427,Day,0.00032000458514,0.000413889656043,0.773164007527
51,Financial,0.00152201185768,0.00197903580669,0.769067367321
12,at,0.00458991651224,0.00597787912479,0.767816882279
271,Mobile,0.000429856905412,0.000562097239314,0.764737620731
456,P,0.000302491896401,0.000395664216715,0.764516687692
258,Top,0.000442593406313,0.000579737905187,0.763437067601
6,and,0.00957625661502,0.0125449175049,0.763357480135
424,Project,0.000321596647753,0.000421946534748,0.762173927901
97,Year,0.000869266186501,0.00115021689735,0.755741102835
155,sales,0.000673442485146,0.000893988662087,0.753300923944
342,prices,0.000364582338294,0.00048682390077,0.748899833631
86,Energy,0.000966382005872,0.00130024377581,0.743231403104
292,euros,0.000409160091448,0.000555534781659,0.736515705148
150,loss,0.000682994860822,0.000929107556764,0.735108498311
211,Canada,0.000504683848206,0.000700428648688,0.720535702175
171,Launches,0.000604983792803,0.000842528598102,0.718057279201
130,its,0.000721204363525,0.00100512810583,0.717524820309
212,State,0.000503091785594,0.000703385003374,0.715243832581
465,sale,0.000299307771176,0.000418730280749,0.714798487085
425,Healthcare,0.00032000458514,0.000449073525548,0.712588400195
430,Power,0.000316820459915,0.000455051209748,0.696230343152
223,American,0.000472842595954,0.000681131124694,0.694202010173
462,Directors,0.000299307771176,0.000435396324199,0.687437524253
170,2016,0.000616128231091,0.000901200868025,0.683674697786
432,Fiscal,0.000315228397302,0.000467039065563,0.674950813638
109,Report,0.000807175744608,0.00122971359973,0.656393281156
407,Update,0.000327964898204,0.000518011818336,0.633122424227
457,Award,0.000302491896401,0.000480553829842,0.629465166266
229,World,0.000466474345503,0.000749809518169,0.622123798378
316,Media,0.000382095027033,0.000616773557298,0.61950617453
278,Data,0.000423488654962,0.000684997126976,0.618234206079
151,Fitch,0.000682994860822,0.00115905347399,0.589269499767
394,agreement,0.000334333148654,0.000591920685487,0.564827614326
85,First,0.000993447070286,0.00181637132413,0.546940516562
58,Results,0.00138031828516,0.00255360821303,0.540536437076
208,Preview,0.000509460036044,0.000943759380538,0.539819838139
123,share,0.000751453553165,0.0014082644278,0.533602595033
194,announces,0.000526972724783,0.00102358095706,0.514832482129
443,revenue,0.000308860146852,0.000610373536714,0.506018246654
238,Annual,0.00045851403244,0.000926963387431,0.494640930437
298,Call,0.000402791840998,0.000892884090007,0.451113246955
68,Quarter,0.00121155964822,0.002755842366,0.439633145628
498,May,0.000284979207662,0.000685874287157,0.415497727497
143,Conference,0.00069413929911,0.0017337883174,0.400359889465
491,Third,0.0002897553955,0.000732201339709,0.395731856507
434,reports,0.00031363633469,0.00089220185431,0.351530691373
362,2014,0.000348661712168,0.00416215754895,0.0837694652515
540,Canadian,0.0,0.000320553315242,0.0
550,Introduces,0.0,0.000305349205428,0.0
557,attack,0.0,0.000286474017817,0.0
556,TRN,0.0,0.000291542054422,0.0
555,Partnership,0.0,0.000293848660825,0.0
554,Deutsche,0.0,0.000296350191713,0.0
553,company,0.0,0.000297454763794,0.0
552,hits,0.0,0.000302652750055,0.0
551,contract,0.0,0.000302782699711,0.0
549,TV,0.0,0.000306323827852,0.0
559,Host,0.0,0.000284882134524,0.0
548,12,0.0,0.000306843626478,0.0
547,Obama,0.0,0.000310449729446,0.0
546,Turkey,0.0,0.000311066990315,0.0
545,Launch,0.0,0.00031181420084,0.0
544,private,0.0,0.000313341109304,0.0
543,drug,0.0,0.000313893395344,0.0
542,Italy,0.0,0.00031779188504,0.0
558,Gas,0.0,0.000286214118504,0.0
560,Time,0.0,0.000284037461757,0.0
578,San,0.0,0.000270132848508,0.0
